Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
21139922,Gironimo!: Riding the Very Terrible 1914 Tour of Italy,Tim Moore,"Moore, Tim",,"=""""","=""""",5,4.05,Vintage Digital,Kindle Edition,,2014,2014,2016/01/16,2016/01/16,,,read,,,,1,,,0,,,,,
26863389,Islam and the Future of Tolerance: A Dialogue,Sam Harris,"Harris, Sam",Maajid Nawaz,"=""""","=""""",5,4.06,Harvard University Press,Kindle Edition,144,2015,2015,2015/12/24,2015/12/24,,,read,,,,1,,,0,,,,,
18890344,Domestique: The Real-life Ups and Downs of a Tour Pro,Charly Wegelius,"Wegelius, Charly",,"=""""","=""""",5,3.99,Ebury Digital,Kindle Edition,324,2013,2013,2015/12/07,2015/12/07,,,read,,,,1,,,0,,,,,
25168346,Rain: A Natural and Cultural History,Cynthia Barnett,"Barnett, Cynthia",,"=""""","=""""",4,3.84,Crown,Kindle Edition,368,2015,2015,2015/11/04,2015/11/04,,,read,,,,1,,,0,,,,,
19043955,At Home: A Short History of a Private Life,Bill Bryson,"Bryson, Bill",,"=""""","=""""",5,3.97,Transworld Digital,Kindle Edition,560,2013,2010,2015/09/12,2014/06/28,,,read,,,,1,,,0,,,,,
24968342,"Nexus (Nexus, #1)",Ramez Naam,"Naam, Ramez",,"=""""","=""""",4,4.05,Angry Robot,Kindle Edition,474,2015,2012,2015/09/01,2015/09/01,,,read,,,,1,,,0,,,,,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""0307266303""","=""9780307266309""",0,4.29,Knopf,Hardcover,287,2009,2009,2015/08/15,2013/11/03,,,read,,,,1,,,0,,,,,
18907318,Mid-life Cyclists,Chris McHutchison,"McHutchison, Chris",Neil Blundell,"=""""","=""""",4,3.77,Chris McHutchison and Neil Blundell,Kindle Edition,213,2012,2012,2015/07/23,2015/07/23,,,read,,,,1,,,0,,,,,
12359421,Ready Player One,Ernest Cline,"Cline, Ernest",,"=""""","=""""",5,4.26,Cornerstone Digital,Kindle Edition,386,2011,2011,2015/07/16,2015/07/16,,,read,,,,1,,,0,,,,,
18626815,Wool (Silo #1),Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.22,Broad Reach Publishing,Kindle Edition,530,2012,2012,2015/07/05,2015/07/05,,,read,,,,1,,,0,,,,,
20775702,The Martian,Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.40,Ebury Digital,Kindle Edition,369,2014,2012,2015/06/27,2015/06/27,,,read,,,,1,,,0,,,,,
22306105,Pro Cycling on $10 a Day: From Fat Kid to Euro Pro,Phil Gaimon,"Gaimon, Phil",,"=""""","=""""",4,4.24,VeloPress,Kindle Edition,314,2014,2014,2015/06/27,2015/06/27,,,read,,,,1,,,0,,,,,
25110062,Rust: The Longest War,Jonathan Waldman,"Waldman, Jonathan",,"=""""","=""""",4,3.72,Simon & Schuster,Kindle Edition,305,2015,2015,2015/05/13,2015/05/13,,,read,,,,1,,,0,,,,,
9106457,Bike Snob,BikeSnobNYC,"BikeSnobNYC, BikeSnobNYC",Eben Weiss,"=""""","=""""",4,3.68,Chronicle Books LLC ,Kindle Edition,219,2011,2010,2015/04/05,2015/04/05,,,read,,,,1,,,0,,,,,
18695133,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,"=""""","=""""",4,3.74,Penguin Books,Kindle Edition,494,2003,2002,2015/04/05,2015/04/05,,,read,,,,1,,,0,,,,,
11516651,It's All About the Bike: The Pursuit of Happiness on Two Wheels,Robert Penn,"Penn, Robert",,"=""""","=""""",4,3.97,,Kindle Edition,,,2010,2014/11/15,2014/11/15,,,read,,,,1,,,0,,,,,
23271008,Lives in Ruins: Archaeologists and the Seductive Lure of Human Rubble,Marilyn Johnson,"Johnson, Marilyn",,"=""""","=""""",4,3.62,Harper,Kindle Edition,293,2014,2014,2015/01/04,2015/01/04,,,read,,,,1,,,0,,,,,
23290548,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""""","=""""",5,4.44,Metropolitan Books,Kindle Edition,297,2014,2014,2014/12/06,2014/12/06,,,read,,,,1,,,0,,,,,
12982044,Camille ,Alexandre Dumas fils,"fils, Alexandre Dumas","Toril Moi, Edmund Gosse","=""""","=""""",5,4.00,,Kindle Edition,,,1848,2014/12/02,2014/12/02,,,read,,,,1,,,0,,,,,
8551582,Stoner,John  Williams,"Williams, John",John McGahern,"=""""","=""""",3,4.29,NYRB Classics,Kindle Edition,305,2006,1965,2014/11/20,2014/11/20,,,read,,,,1,,,0,,,,,
19234183,Riddle of the Labyrinth: The Quest to Crack an Ancient Code and the Discovery of a Lost Civilisation,Margalit Fox,"Fox, Margalit",,"=""1847659705""","=""9781847659705""",5,3.95,Not Avail,ebook,450,2014,2013,2014/11/14,2014/11/14,,,read,,,,1,,,0,,,,,
12599811,The Swerve: How the World Became Modern,Stephen Greenblatt,"Greenblatt, Stephen",,"=""""","=""""",5,3.85,,Kindle Edition,356,2011,2011,2014/09/28,2014/09/28,,,read,,,,1,,,0,,,,,
18626858,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",4,4.33,Scholastic Press,Kindle Edition,387,2009,2008,2014/07/17,2014/07/17,,,read,,,,1,,,0,,,,,
9667124,The Emperor of All Maladies,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",5,4.29,Scribner,Kindle Edition,592,2010,2010,2014/07/16,2014/06/28,,,read,,,,1,,,0,,,,,
142181,The Inverted World,Christopher Priest,"Priest, Christopher",,"=""0060134216""","=""9780060134211""",0,3.91,Harper & Row (NYC),Hardcover,310,1974,1974,,2013/11/03,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
7061422,"Your Flying Car Awaits: Robot Butlers, Lunar Vacations, and Other Dead-Wrong Predictions of the Twentieth Century",Paul Milo,"Milo, Paul",,"=""0061724602""","=""9780061724602""",2,3.15,Harper Perennial,Paperback,304,2009,2009,2013/07/01,2013/11/03,,,read,,,,1,,,0,,,,,
